Avg Year,Type,Avg Deaths,,0
2015,Interstate,95631.33333,,
2007.333333,Interstate,42355.33333,,
2004,Interstate,49569,,
2014.333333,Interstate,42423.66667,,
2003,Interstate,32921,,
2002.666667,Interstate,63390,,
2010.666667,Interstate,68875.33333,,
2006,Interstate,40724.66667,,
2011.666667,Interstate,79880,,
2013,Interstate,101724,,
2004.333333,Interstate,99892.66667,,
1993,One-sided violence,535938.3333,,
1998,Interstate,26809,,
2018.666667,Interstate,108697.6667,,
2017.666667,Interstate,125194,,
2009.333333,Interstate,119042,,
1999.333333,Interstate,46456.66667,,
2004,Interstate,94528.66667,,
2010.666667,Interstate,49328.33333,,
2005.333333,Interstate,38534.33333,,
2000.666667,Intrastate,56707,,
2001.666667,Interstate,77878.33333,,
2016,Interstate,90761.33333,,
2000,Interstate,40580.33333,,
1996,Interstate,282506.6667,,
2008.333333,Interstate,63729,,
2007,Interstate,52592.33333,,
2011.333333,Interstate,114415.6667,,
1993.666667,Intrastate,42357.33333,,
2010.666667,Interstate,61076,,
2009.666667,Interstate,37934,,
1999.666667,Interstate,42497.33333,,
2011.333333,Interstate,58522,,
2000.333333,Interstate,34647.33333,,
1997.333333,Interstate,40359.66667,,
2016.666667,Interstate,87009.33333,,
2001,Interstate,81083,,
2005.333333,Interstate,53518.66667,,
2014,Interstate,100452,,
2006.666667,Interstate,67919.33333,,
2009,Interstate,350972,,
2013.666667,Interstate,69605,,
2006.666667,Interstate,53764.66667,,
2007,Interstate,23162,,
2007,Interstate,49259.33333,,
2003.333333,Interstate,49657.33333,,
2012,Interstate,32990.66667,,
2018.333333,Interstate,66344.66667,,
2013,Interstate,48721.33333,,
2000.666667,Interstate,31082,,
2002.666667,Interstate,63387,,
1999.666667,Interstate,54128.33333,,
2001.333333,Interstate,49676.66667,,
2005.333333,Interstate,50217,,
2016.666667,Interstate,134595.6667,,
2015.666667,Interstate,62536.66667,,
2002.666667,Interstate,45740,,
1997.333333,Interstate,58810,,
1999.333333,Interstate,34088.33333,,
2011,Interstate,106128.3333,,
2021.666667,Interstate,103059.3333,,
2011.333333,Interstate,55691,,
2001.666667,Interstate,35867.33333,,
2009,Interstate,30930,,
1996,Interstate,37449.66667,,
2013.666667,Interstate,86407.33333,,
2010.333333,Interstate,36746.33333,,
1995,Interstate,51081.66667,,
2000,Interstate,40580.33333,,
1997.333333,Interstate,50903.33333,,
