학년,출발 시간,학교 도착 시간,학교까지 걸리는 시간,주사용 교통수단,지각 빈도,지각 원인,DATE,지각자 수,TEM,WEATHER CONDITION,WIND,HUMIDITY,BAROMETER
11학년,7:00~7:10,7:30~7:40,20~30분,개인 차,거의 없음,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",,,,,,,
9학년,7:40~7:50,7:50~8:00,10분 이내,택시,거의 없음,지각을 잘 안함,,,,,,,
9학년,7:40~7:50,7:50~8:00,10분 이내,걸어서,주 1~2번,늦잠,,,,,,,
9학년,7:00~7:10,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,,,,,,,
9학년,6:30~7:00,7:20~7:30,10분 이내,버스,거의 없음,지각을 잘 안함,,,,,,,
9학년,7:30~7:40,7:40~7:50,10분 이내,오토바이,거의 없음,"날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",,,,,,,
9학년,7:30~7:40,7:40~7:50,10분 이내,걸어서,거의 없음,지각을 잘 안함,,,,,,,
9학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,"날씨 문제( 비), 지각을 잘 안함",,,,,,,
9학년,7:00~7:10,7:30~7:40,30분 이상,택시,한 달에 1~2번,"교통 문제( 차 막힘, 사고)",,,,,,,
11학년,7:10~7:20,7:30~7:40,10분 이내,개인 차,거의 없음,"교통 문제( 차 막힘, 사고), 지각을 잘 안함",,,,,,,
11학년,7:20~7:30,7:30~7:40,10분 이내,버스,거의 없음,날씨 문제( 비),,,,,,,
11학년,7:00~7:10,7:30~7:40,20~30분,버스,거의 없음,"교통 문제( 차 막힘, 사고)",,,,,,,
11학년,7:20~7:30,7:50~8:00,10~20분,걸어서,거의 없음,날씨 문제( 비),,,,,,,
10학년,7:30~7:40,7:50~8:00,10분 이내,오토바이,한 달에 1~2번,"늦잠, 택시 호출 지연( 날씨 영향 없는)",,,,,,,
9학년,7:10~7:20,7:20~7:30,10분 이내,버스,한 달에 1~2번,늦잠,,,,,,,
9학년,6:30~7:00,7:00~7:10,10~20분,개인 차,거의 없음,지각을 잘 안함,,,,,,,
9학년,7:00~7:10,7:30~7:40,10~20분,버스,거의 없음,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",,,,,,,
11학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,지각을 잘 안함,,,,,,,
11학년,7:10~7:20,7:30~7:40,10~20분,버스,거의 없음,날씨 문제( 비),,,,,,,
9학년,7:40~7:50,7:50~8:00,10분 이내,걸어서,거의 없음,지각을 잘 안함,,,,,,,
11학년,7:40~7:50,7:50~8:00,10분 이내,걸어서,한 달에 1~2번,날씨 문제( 비),,,,,,,
11학년,7:30~7:40,7:40~7:50,10~20분,오토바이,거의 없음,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는), 지각을 잘 안함",,,,,,,
11학년,7:00~7:10,7:30~7:40,10~20분,버스,거의 없음,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 지각을 잘 안함",,,,,,,
11학년,7:30~7:40,7:40~7:50,10~20분,택시,거의 없음,"교통 문제( 차 막힘, 사고), 늦잠",,,,,,,
9학년,6:30~7:00,7:40~7:50,30분 이상,버스,한 달에 1~2번,"교통 문제( 차 막힘, 사고)",,,,,,,
10학년,7:20~7:30,7:40~7:50,10분 이내,택시,거의 없음,지각을 잘 안함,,,,,,,
10학년,7:00~7:10,7:40~7:50,30분 이상,버스,거의 없음,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 지각을 잘 안함",,,,,,,
10학년,7:00~7:10,7:30~7:40,30분 이상,걸어서,거의 없음,지각을 잘 안함,,,,,,,
12학년,7:30~7:40,7:40~7:50,10분 이내,오토바이,거의 없음,지각을 잘 안함,,,,,,,
9학년,7:40~7:50,7:50~8:00,10분 이내,걸어서,거의 없음,늦잠,,,,,,,
9학년,7:00~7:10,7:30~7:40,10~20분,버스,한 달에 1~2번,"교통 문제( 차 막힘, 사고), 택시 호출 지연( 날씨 영향 없는)",,,,,,,
11학년,7:20~7:30,7:40~7:50,10~20분,오토바이,거의 없음,지각을 잘 안함,,,,,,,
10학년,7:40~7:50,7:50~8:00,10분 이내,오토바이,거의 없음,"교통 문제( 차 막힘, 사고), 날씨 문제( 비), 택시 호출 지연( 날씨 영향 없는)",,,,,,,
